compound,type,mp_id,Nv,magnetic_moment,lattice_constant
Co2FeSb,full,mp-1224950,31,4.895,
Co2FeAs,full,mp-675526,31,6.08,
Co2FeAs,full,mp-1224972,31,6.08,
Co2FeP ,full,mp-1095664,31,4.68,
Co2CrAl,full,mp-10883,27,3.0,
Co2CrSi,full,mp-1095673,28,4.06,
Co2CrSi,full,mp-1008224,28,4.06,
Co2CrSi,full,mp-1226249,28,4.06,
Co2CrGe,full,mp-1183740,28,4.0,
Co2CrGe,full,mp-10394,28,4.0,
Co2CrGa,full,mp-567981,27,3.01,
Co2CrIn,full,mp-16735,27,3.2,
Co2CrSb,full,mp-1018082,29,5.023,
Co2CrAs,full,mp-1206397,29,4.891,
Co2CrAs,full,mp-1008277,29,4.891,
Co2CrP,full,mp-1102834,29,1.2939,
Co2CrP,full,mp-1226398,29,1.2939,
Co2TiAl,full,mp-5407,25,1.0,
Co2TiAl,full,mp-1064228,25,1.0,
Co2TiAl,full,mp-1217016,25,1.0,
Co2TiSi,full,mp-21306,26,2.0,
Co2TiSi,full,mp-3657,26,2.0,
Co2TiSi,full,mp-15657,26,2.0,
Co2TiGe,full,mp-1217400,26,1.97,
Co2TiGe,full,mp-22769,26,1.97,
Co2TiGe,full,mp-999067,26,1.97,
Co2TiGa,full,mp-20145,25,1.0,
Co2TiGa,full,mp-999054,25,1.0,
Co2TiGa,full,mp-1025229,25,1.0,
Co2TiSn,full,mp-20453,26,1.97,
Co2TiSn,full,mp-1216996,26,1.97,
Co2TiSn,full,mp-1216949,26,1.97,
Co2TiIn,full,mp-999046,25,1.03,
Co2TiIn,full,mp-1018043,25,1.03,
Co2TiIn,full,mp-865548,25,1.03,
Co2TiSb,full,mp-5967,27,1.67,
Co2TiSb,full,mp-1208246,27,1.67,
Co2TiSb,full,mp-1208267,27,1.67,
Co2TiAs,full,mp-961700,27,0.9743,
Co2TiP,full,mp-1102138,27,0.9248,
Co2TiP,full,mp-867373,27,0.9248,
Co2TiB,full,mp-504617,25,1.0,
Co2TiB,full,mp-1193707,25,1.0,
Co2TiB,full,mp-1208329,25,1.0,
Co2VAl,full,mp-4955,26,2.0,
Co2VAl,full,mp-1228974,26,2.0,
Co2VSi,full,mp-20586,27,3.0,
Co2VSi,full,mp-21371,27,3.0,
Co2VSi,full,mp-1216425,27,3.0,
Co2VGe,full,mp-865465,27,2.998,
Co2VGe,full,mp-1103555,27,2.998,
Co2VGa,full,mp-22790,26,2.01,
Co2VSn,full,mp-21469,27,3.0,
Co2VSn,full,mp-1018119,27,3.0,
Co2VSb,full,mp-1216413,28,3.6913,
Co2VSb,full,mp-4076,28,3.6913,
Co2VAs,full,mp-1207799,28,4.01,
Co2VP,full,mp-1101982,28,0.0001,
Co2MnAl,full,mp-13079,28,4.01,
Co2MnAl,full,mp-3623,28,4.01,
Co2MnAl,full,mp-1221642,28,4.01,
Co2MnSi,full,mp-961696,29,5.0,
Co2MnSi,full,mp-10365,29,5.0,
