compound,heusler_type,mp_id,formula,formation_energy,absolute_energy,band_gap,fermi_energy,bulk_modulus,poisson_ratio,Nv
Co2FeSb,full,mp-2216303,MgFe3Co2Sb(PO4)6,-2.276068294942084,-7.594542317027027,1.6864999999999997,2.24973809,,,31
Co2FeSb,full,mp-1234239,MgFe3Co2Sb(PO4)6,-2.2258951608880295,-7.544369182972972,0.0,2.4341681,,,31
Co2FeSb,full,mp-2216000,MgFe3Co2Sb(PO4)6,-2.21010293142857,-7.528576953513513,0.0,3.30817715,,,31
Co2FeAs,full,mp-998974,TiFeCoAs,-0.36153024520833377,-7.403793365,0.0,8.13994071,187.342,0.371,31
Co2FeAs,full,mp-675526,FeCoAs,-0.12042472472222225,-6.878278212222223,0.0,7.0888007,,,31
Co2FeAs,full,mp-1066006,VFeCoAs,-0.09063114187500076,-7.429997775,0.0,7.99690028,,,31
Co2FeP ,full,mp-760077,MnFeCo(PO4)3,-2.25167672885331,-7.831623310416666,0.5024,2.12242092,,,31
Co2FeP ,full,mp-1176481,MnFeCo(PO4)3,-2.256216780381089,-7.836163361944445,0.001000000000000112,1.70191218,,,31
Co2FeP ,full,mp-759846,Li3MnFeCo(PO4)3,-2.461936043421886,-7.5174506657142866,1.8256000000000001,4.85494986,,,31
Co2CrAl,full,mp-10883,AlCrCo2,-0.22062925874999806,-12.289105003749999,0.0,7.02384325,199.303,0.292,27
Co2CrAl,full,mp-1228949,Al2CrFeCo4,-0.2920568399999999,-7.0605427425,0.0,6.94851754,,,27
Co2CrSi,full,mp-1213726,CrFeCoSi,-0.26834161249999866,-7.938792469999999,0.0,8.37528824,,,28
Co2CrSi,full,mp-1095673,CrCoSi,-0.24880192527777942,-12.60924796361111,0.0,7.97811093,,,28
Co2CrSi,full,mp-1221846,Mn4Cr(Co2Si)5,-0.40023366108620734,-7.638326960500001,0.0,7.90652143,,,28
Co2CrGe,full,mp-1183740,CrCo2Ge,-0.11422048125000028,-7.2499476725,0.0,7.45453407,,,28
Co2CrGe,full,mp-10394,CrCoGe,-0.07916975833333358,-7.215667106666667,0.0,7.5312468,183.828,0.322,28
Co2CrGe,full,mp-1222067,Mn4Cr(Co2Ge)5,-0.22292983133620653,-7.260450586999999,0.0,6.36471465,,,28
Co2CrGa,full,mp-567981,CrGaCo2,-0.07622638124999881,-13.322371531249999,0.0,5.90754892,199.836,0.327,27
Co2CrGa,full,mp-1226165,Cr12Ga2(CoS8)3,-0.9210596318292676,-6.838465521219513,0.0,4.81269196,,,27
Co2CrGa,full,mp-1226347,CrGa3(CoSe4)2,-0.5635476736607136,-4.918652016428571,0.0,2.97853987,,,27
Co2CrSn,full,mp-778219,Li4Cr3Co3(SnO8)2,-1.969554920833333,-7.157070896071429,0.0,3.65749089,,,28
Co2CrSn,full,mp-1177516,Li4Cr3Co3(SnO8)2,-1.9477848894047614,-7.135300864642857,0.07759999999999989,2.76651176,,,28
Co2CrSn,full,mp-774701,Li4Cr3Co2Sn3O16,-1.965901049940476,-7.0418511371428565,0.0867,3.34066603,,,28
Co2CrIn,full,mp-1226318,Cr3In(CoS4)2,-0.7661046604761899,-6.4155350985714295,0.0,4.82156505,,,27
Co2CrIn,full,mp-1226298,CrInCoS4,-0.7245873680952377,-5.881598254285715,0.0,4.94870372,,,27
Co2CrIn,full,mp-16735,CrInCo2,0.1976137877083346,-15.832484969791665,0.0,7.4804662,169.302,0.341,27
Co2CrSb,full,mp-1018082,CrCo2Sb,0.07108677958333232,-16.74094331541667,0.0,8.46626634,173.777,0.295,29
Co2CrSb,full,mp-1226307,CrCo4SbO8,-1.6675647385714285,-7.519980836428571,0.9511000000000003,4.25540112,,,29
Co2CrSb,full,mp-757879,Cr3Co3(SbO8)2,-1.6164263941666672,-7.360327002916667,0.0,3.4472296,,,29
Co2CrAs,full,mp-1206397,CrCoAs,-0.2284141480555522,-14.56678231722222,0.0,7.14405663,,,29
Co2CrAs,full,mp-1008277,CrCo2As,-0.038139368124998185,-14.100473277499999,0.0,7.40768899,187.113,0.32,29
Co2CrAs,full,mp-694249,Cr3Co2As2(CO)20,-0.7451330297872336,-7.898001225851063,1.7069999999999999,-0.63325998,,,29
Co2CrP,full,mp-757284,Mn3CrCo2(PO4)6,-2.28545116504584,-7.917481645,0.0,2.02008157,,,29
Co2CrP,full,mp-776777,Li4CrCo2Ni3(PO4)6,-2.275351350029762,-7.281430172750001,2.9872,1.77947624,,,29
Co2CrP,full,mp-757257,Li4CrCo3(PO4)4,-2.413452291496598,-7.398705961428571,0.8765000000000001,4.13416871,,,29
Co2TiAl,full,mp-5407,TiAlCo2,-0.6043146191666668,-12.13889402,0.0,7.10381391,179.963,0.268,25
Co2TiAl,full,mp-1064228,Ti2AlCo,-0.2545813473333354,-11.715042219,0.0,6.76398172,,,25
Co2TiAl,full,mp-1217016,TiAlCo2,-0.5175928941666683,-12.052172295000002,0.0,7.18764377,,,25
Co2TiSi,full,mp-21306,TiCoSi,-0.7580421472222246,-12.406626393333333,0.0,7.58037489,185.534,0.27,26
Co2TiSi,full,mp-3657,TiCo2Si,-0.692858332916666,-12.7378543,0.0,8.10358595,206.714,0.297,26
